id	title	current_author	primary_author	attribution_status	conflation	source	note
SA_GV01_rv_hn09u	Ṛgveda: Maṇḍala 9	anonymous/traditional (composite, drawn from multiple seer families)	Multiple ṛṣi-composers (traditional, per Anukramaṇī); no single author	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Mandala_9	Composite: many distinct traditional ṛṣi-composers (not one family), plus anonymous redactorial arrangement. Current 'composite, multiple seer families' is accurate; flagged conflated to record distinct roles.
SA_GV01_rv_hn10u	Ṛgveda: Maṇḍala 10	anonymous/traditional (many families; latest stratum)	Multiple ṛṣi-composers (traditional, per Anukramaṇī); latest stratum; no single author	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Composite of many distinct traditional authors plus redaction; latest stratum. Flagged conflated.
SA_GV01_rv_09_u	Ṛgveda 9	anonymous/traditional (composite, drawn from multiple seer families)	Multiple ṛṣi-composers (traditional, per Anukramaṇī); no single author	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Mandala_9	Duplicate of Maṇḍala 9 (different e-text encoding). Composite of many distinct traditional ṛṣi-composers plus anonymous redaction; flagged conflated.
SA_GV01_rv_hn07u	Ṛgveda: Maṇḍala 7	anonymous/traditional (hymns attributed to Vasiṣṭha and his family)	Vasiṣṭha and the Vāsiṣṭha family of ṛṣis (traditional ascription)	traditional	False	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Pure family book ascribed traditionally to one ṛṣi lineage (Vasiṣṭhas), not a single individual; multiple poets within a single family, so not flagged as multi-author conflation. Traditional ascription, not securely historical.
SA_GV01_rv_hn03u	Ṛgveda: Maṇḍala 3	anonymous/traditional (hymns attributed to Viśvāmitra and his family)	Viśvāmitra and the Vaiśvāmitra family of ṛṣis (traditional ascription)	traditional	False	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Pure family book ascribed traditionally to the Viśvāmitra lineage (includes the Gāyatrī, RV 3.62.10). Family ascription, not one individual; traditional rather than secure.
SA_GV01_rv_hn01u	Ṛgveda: Maṇḍala 1	anonymous/traditional (many seer families; later stratum)	Multiple ṛṣi-composers (traditional, per Anukramaṇī); later stratum; no single author	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Composite of many distinct traditional authors across families plus redaction; later stratum. Flagged conflated (multiple distinct lineages, unlike the single-family books 2-7).
SA_GV01_rv_hn06u	Ṛgveda: Maṇḍala 6	anonymous/traditional (hymns attributed to Bharadvaja and the Bārhaspatya Aṅgirasas)	anonymous (traditionally the Bharadvāja / Bārhaspatya Aṅgirasa ṛṣi family; multiple distinct seers)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Mandala_6	Family book: composed by a lineage of distinct ṛṣis (traditionally Bharadvāja & Bārhaspatya Aṅgirasas), no single historical author. Editorial chain (Aufrecht→van Nooten/Holland→Eichler) is redactional, not authorial.
SA_GV01_rv_01_u	Ṛgveda 1	anonymous/traditional (multiple ṛṣi families)	anonymous (traditionally many distinct ṛṣis of multiple families)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda; tradition	Maṇḍala 1 conflates hymns by numerous distinct seers of different lineages; no single author. Editorial chain is redactional.
SA_GV01_rv_04_u	Ṛgveda 4	anonymous/traditional (hymns attributed to the Gautama/Vāmadeva family of ṛṣis)	anonymous (traditionally Vāmadeva Gautama and the Gautama family; multiple distinct seers)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Family book by the Gautama/Vāmadeva ṛṣi lineage; multiple distinct seers, no single author. Same content as item rv_hn04u. Editorial chain redactional.
SA_GV01_rvh1-10u	Ṛgveda	anonymous/traditional (ascribed to seer-families, ṛṣis)	anonymous (traditionally hundreds of distinct ṛṣis across all ten maṇḍalas)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda; tradition	Whole-Ṛgveda file: conflates the entire corpus of ṛṣi-families across 10 maṇḍalas; no single author. Traditional redaction credited to Vyāsa (legendary). Editorial chain redactional.
SA_GV01_rv_hn05u	Ṛgveda: Maṇḍala 5	anonymous/traditional (hymns attributed to the Atri family of ṛṣis)	anonymous (traditionally the Atri ṛṣi family; multiple distinct seers)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Family book by the Atri ṛṣi lineage; multiple distinct seers, no single author. Editorial chain redactional.
SA_GV01_rv_hn04u	Ṛgveda: Maṇḍala 4	anonymous/traditional (hymns attributed to Vāmadeva Gautama and family)	anonymous (traditionally Vāmadeva Gautama and the Gautama family; multiple distinct seers)	conflated	True	gretil-header; web:https://en.wikipedia.org/wiki/Rigveda	Family book by the Gautama/Vāmadeva ṛṣi lineage; multiple distinct seers, no single author. Same content as item rv_04_u. Editorial chain redactional.
